date;dona_francisca;emborcacao;ita;nova_avanhandava;nova_ponte;santa_cecilia;serra_da_mesa;teles_pires;tres_marias
1996-09-01;90.9;45.43;142.49;133.44;60.0;159.71;27.12;55.44;74.59
1996-10-01;155.62;78.8;151.02;149.25;75.95;132.84;121.98;192.87;96.06
1996-11-01;96.0;239.53;125.91;166.98;262.2;173.57;247.47;281.11;271.38
1996-12-01;167.09;293.48;165.37;262.74;316.51;241.45;203.36;291.96;301.1
1997-01-01;104.78;323.29;188.07;296.69;357.74;288.57;277.05;322.67;322.23
1997-02-01;190.68;123.55;195.31;121.68;134.4;84.25;138.88;159.82;115.61
1997-03-01;44.02;221.32;59.15;91.73;206.46;86.15;331.2;423.35;182.31
1997-04-01;76.2;76.81;51.6;46.66;75.0;53.6;139.49;141.51;65.74
1997-05-01;118.11;27.9;84.86;70.88;25.73;65.77;42.96;57.41;25.7
1997-06-01;170.4;48.12;154.09;128.24;58.5;76.15;35.42;46.77;51.01
1997-07-01;103.54;0.9;139.31;15.66;0.31;12.66;1.1;0.02;4.07
1997-08-01;173.91;0.0;192.92;26.83;0.0;33.38;0.0;1.57;1.84
1997-09-01;150.6;59.06;159.34;94.41;64.2;103.02;56.78;79.23;55.24
1997-10-01;295.74;64.5;270.46;94.4;66.96;70.81;90.42;109.47;66.73
1997-11-01;219.6;158.33;186.8;188.81;177.0;176.33;129.06;153.3;174.45
1997-12-01;277.45;284.56;212.2;150.94;315.27;185.86;194.0;272.25;267.87
1998-01-01;275.9;181.45;300.39;150.73;204.29;164.06;221.39;172.9;197.04
1998-02-01;361.76;176.6;283.88;271.2;191.8;259.98;231.46;239.68;190.21
1998-03-01;222.89;102.27;247.96;172.93;105.71;147.9;174.47;224.73;99.11
1998-04-01;257.7;27.57;221.86;87.75;30.9;55.86;51.97;118.91;33.7
1998-05-01;155.93;63.86;128.24;82.09;84.63;96.27;22.99;30.96;72.19
1998-06-01;116.4;0.7;99.47;17.15;0.6;18.87;3.68;1.38;2.32
1998-07-01;157.17;0.0;146.51;18.17;0.0;19.64;0.89;0.58;1.36
1998-08-01;218.55;27.74;213.41;61.35;39.06;29.69;4.53;18.98;39.42
1998-09-01;159.3;6.9;176.31;89.04;9.0;100.17;17.82;53.96;19.74
